CanonicalSMILES	Name	Combined_ID	drop_duplicates	ClogP	dataset	SMILES	InChIKey
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12	Exemestane	swe2_data_419	True	4.029500000000003	swe2	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C	BFYIZQONLCFLEV-DAELLWKTSA-N
C=C1CCCC2(C)CCC(O)(C(=C)C(=O)O)CC12	2-[(2S,4aR,8aS)-2-hydroxy-4a-methyl-8-methylidene-3,4,5,6,7,8a-hexahydro-1H-naphthalen-2-yl]prop-2-enoic acid	amar_data_32+swe2_data_69	True	2.9048000000000007	amar+swe2	C[C@]12CCCC(=C)[C@@H]1C[C@@](CC2)(C(=C)C(=O)O)O	WQMBCGHXXVLQTE-CFVMTHIKSA-N
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	Quinine	amar_data_369+swe2_data_715	True	3.1732000000000014	amar+swe2	COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O	LOUPRKONTZGTKE-WZBLMQSHSA-N
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC	Tacrolimus	swe2_data_759	True	4.639000000000004	swe2	C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC	QJJXYPPXXYFBGM-LFZNUXCKSA-N
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5	Naloxone	snf_data_10737	True	1.3014	snf	C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O	UZHSEJADLWPNLE-GRGSLBFTSA-N
C=CCN1CCC23c4c5ccc(O)c4OC2C(OCCOCCOCCOCCOCCOCCOCCOC)CCC3(O)C1C5	Naloxegol	snf_data_10959	True	1.8635000000000028	snf	COCCOCCOCCOCCOCCOCCOCCO[C@H]1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC=C)O	XNKCCCKFOQNXKV-ZRSCBOBOSA-N
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl	Enilconazole	aus_data_109	True	4.133800000000003	aus	C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl	PZBPKYOVPCNPJY-UHFFFAOYSA-N
C=CCOc1ccccc1OCC(O)CNC(C)C	Oxprenolol	amar_data_339+swe2_data_647	True	1.9891	amar+swe2	CC(C)NCC(COC1=CC=CC=C1OCC=C)O	CEMAWMOMDPGJMB-UHFFFAOYSA-N
CC(=CC(=O)O)C(=O)O	Citraconic Acid	swe2_data_322	True	0.1018999999999998	swe2	C/C(=C/C(=O)O)/C(=O)O	HNEGQIOMVPPMNR-IHWYPQMZSA-N
CC(=CCNc1ncnc2nc[nH]c12)CO	trans-Zeatin	aus_data_254	True	0.7033999999999998	aus	C/C(=C\CNC1=NC=NC2=C1NC=N2)/CO	UZKQTCBAMSWPJD-FARCUNLSSA-N
CC(=NC#N)N(C)Cc1ccc(Cl)nc1	Acetamiprid	amar_data_105+snf_data_2986	True	2.06628	amar+snf	CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl	WCXDHFDTOYPNIE-UHFFFAOYSA-N
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	17alpha-Hydroxyprogesterone	swe2_data_38	True	3.838400000000002	swe2	CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O	DBPWSSGDRRHUNT-CEGNMAFCSA-N
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	Progesterone	swe2_data_702	True	4.723500000000005	swe2	CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C	RJKFOVLPORLFTN-LEKSSAKUSA-N
CC(=O)CCC(=O)O	Levulinic acid	amar_data_267+swe2_data_530	True	0.4402	amar+swe2	CC(=O)CCC(=O)O	JOOXCMJARBKPKM-UHFFFAOYSA-N
CC(=O)CCc1ccc(O)cc1	4-(4-Hydroxyphenyl)butan-2-one	swe2_data_148	True	1.9138	swe2	CC(=O)CCC1=CC=C(C=C1)O	NJGBTKGETPDVIK-UHFFFAOYSA-N
CC(=O)Cc1ccc(O)c(O)c1	3',4'-Dihydroxyphenylacetone	swe2_data_114	True	1.2292999999999998	swe2	CC(=O)CC1=CC(=C(C=C1)O)O	JQXBETDGCMQLMK-UHFFFAOYSA-N
CC(=O)N(C)N(C(=O)C(=O)N(C)C)c1ccccc1	Dioxoaminopyrine	swe2_data_389	True	0.5011000000000001	swe2	CC(=O)N(C)N(C1=CC=CC=C1)C(=O)C(=O)N(C)C	IRTZMJWVZQYURE-UHFFFAOYSA-N
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	Iohexol	swe2_data_494	True	-1.6274999999999986	swe2	CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I	NTHXOOBQLCIOLC-UHFFFAOYSA-N
CC(=O)N1CCCC1C(=O)O	Acetylproline	swe2_data_228	True	0.0819	swe2	CC(=O)N1CCC[C@H]1C(=O)O	GNMSLDIYJOSUSW-LURJTMIESA-N
CC(=O)NC(C(=O)O)C(C)C	N-Acetylvaline	aus_data_344+amar_data_310+swe2_data_603	True	0.2316999999999998	aus+amar+swe2	CC(C)[C@@H](C(=O)O)NC(=O)C	IHYJTAOFMMMOPX-LURJTMIESA-N
CC(=O)NC(CC(C)C)C(=O)O	N-Acetyl-L-leucine	aus_data_169+amar_data_106+swe2_data_601+swe2_data_226	True	0.6218000000000001	aus+amar+swe2	CC(C)C[C@@H](C(=O)O)NC(=O)C	WXNXCEHXYPACJF-ZETCQYMHSA-N
CC(=O)NC(CCC(=O)O)C(=O)O	N-Acetyl-DL-glutamic acid	aus_data_339+amar_data_309+swe2_data_600	True	-0.5594999999999994	aus+amar+swe2	CC(=O)NC(CCC(=O)O)C(=O)O	RFMMMVDNIPUKGG-UHFFFAOYSA-N
CC(=O)NC(CCCN)C(=O)O	N-Acetylornithine	aus_data_343+amar_data_311	True	-0.6853999999999989	aus+amar	CC(=O)N[C@@H](CCCN)C(=O)O	JRLGPAXAGHMNOL-LURJTMIESA-N
CC(=O)NC(Cc1ccc(O)cc1)C(=O)O	N-Acetyl-L-tyrosine	aus_data_342	True	0.5239999999999998	aus	CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O	CAHKINHBCWCHCF-JTQLQIEISA-N
CC(=O)NC(Cc1ccccc1)C(=O)O	N-Acetyl-L-phenylalanine	aus_data_341+swe2_data_227	True	0.8183999999999998	aus+swe2	CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O	CBQJSKKFNMDLON-JTQLQIEISA-N
CC(=O)NC1C(O)OC(CO)C(O)C1O	N-Acetyl-D-galactosamine	aus_data_338	True	-3.077599999999999	aus	CC(=O)N[C@@H]1[C@H]([C@H]([C@H](OC1O)CO)O)O	OVRNDRQMDRJTHS-KEWYIRBNSA-N
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1	Linezolid	swe2_data_534	True	1.1235999999999997	swe2	CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F	TYZROVQLWOKYKF-ZDUSSCGKSA-N
CC(=O)NCCCS(=O)(=O)O	Acamprosate	swe2_data_221	True	-0.5995999999999997	swe2	CC(=O)NCCCS(=O)(=O)O	AFCGFAGUEYAMAO-UHFFFAOYSA-N
CC(=O)NCCc1ccc(O)c(O)c1	N-Acetyldopamine	aus_data_170	True	0.7763999999999998	aus	CC(=O)NCCC1=CC(=C(C=C1)O)O	OFSAJYZMIPNPHE-UHFFFAOYSA-N
CC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O	4-Acetamidoantipyrine	amar_data_75	True	1.4428199999999998	amar	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C	OIAGWXKSCXPNNZ-UHFFFAOYSA-N
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	Diatrizoate	swe2_data_371	True	3.1154	swe2	CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I	YVPYQUNUQOZFHG-UHFFFAOYSA-N
CC(=O)Nc1ccc(C(=O)O)cc1	4-Acetamidobenzoic acid	amar_data_76+swe2_data_155	True	1.3432	amar+swe2	CC(=O)NC1=CC=C(C=C1)C(=O)O	QCXJEYYXVJIFCE-UHFFFAOYSA-N
CC(=O)Nc1ccc(C)cc1C	N-(2,4-Dimethylphenyl)acetamide	swe2_data_582	True	2.2618400000000003	swe2	CC1=CC(=C(C=C1)NC(=O)C)C	PJEIIBXJUDOMAN-UHFFFAOYSA-N
CC(=O)Nc1ccc(O)c(C(=O)O)c1	N-Acetyl-5-aminosalicylic acid	aus_data_168+amar_data_308+swe2_data_599	True	1.0487999999999995	aus+amar+swe2	CC(=O)NC1=CC(=C(C=C1)O)C(=O)O	GEFDRROBUCULOD-UHFFFAOYSA-N
CC(=O)Nc1ccc(O)cc1	Paracetamol	aus_data_194+amar_data_103+snf_data_243+swe2_data_652	True	1.3505999999999998	aus+amar+snf+swe2	CC(=O)NC1=CC=C(C=C1)O	RZVAJINKPMORJF-UHFFFAOYSA-N
CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1	N4-Acetylsulfamethoxazole	amar_data_304+swe2_data_229	True	1.74222	amar+swe2	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C	GXPIUNZCALHVBA-UHFFFAOYSA-N
CC(=O)Nc1ccc2c(c1)CCC2	N1-(2,3-Dihydro-1H-inden-5-yl)acetamide	swe2_data_594	True	2.1337	swe2	CC(=O)NC1=CC2=C(CCC2)C=C1	WOYOJAPRKMBKEU-UHFFFAOYSA-N
CC(=O)Nc1ccccc1	Acetanilide	aus_data_50	True	1.6449999999999998	aus	CC(=O)NC1=CC=CC=C1	FZERHIULMFGESH-UHFFFAOYSA-N
CC(=O)Nc1ccccc1C	2`-Methylacetanilide	swe2_data_71	True	1.95342	swe2	CC1=CC=CC=C1NC(=O)C	BPEXTIMJLDWDTL-UHFFFAOYSA-N
CC(=O)OC1C(C)OC(n2cc(F)c(N)nc2=O)C1OC(C)=O	2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidine	swe2_data_58	True	-0.2547000000000003	swe2	C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=NC2=O)N)F)OC(=O)C)OC(=O)C	NWJBWNIUGNXJGO-RPULLILYSA-N
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C	Betamethasone 21	swe2_data_278	True	2.466500000000001	swe2	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C	AKUJBENLRBOFTD-QZIXMDIESA-N
CC(=O)OCC[N+](C)(C)C	Acetylcholine	aus_data_53+swe2_data_225	True	0.2557	aus+swe2	CC(=O)OCC[N+](C)(C)C	OIPILFWXSMYKGL-UHFFFAOYSA-N
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1	Bisacodyl	snf_data_10585	True	4.112400000000003	snf	CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3	KHOITXIGCFIULA-UHFFFAOYSA-N
CC(=O)SC(C)C[N+](C)(C)C	Acetyl-beta-methylthiocholine	aus_data_52	True	1.3608	aus	CC(C[N+](C)(C)C)SC(=O)C	SHEXQJZFGTZWSV-UHFFFAOYSA-N
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12	Spironolactone	snf_data_2902	True	4.852300000000005	snf	CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C	LXMSZDCAJNLERA-ZHYRCANASA-N
CC(=O)c1ccc(-n2ccnc2)cc1	4'-(Imidazol-1-yl)acetophenone	aus_data_35+swe2_data_150	True	2.0749	aus+swe2	CC(=O)C1=CC=C(C=C1)N2C=CN=C2	GAIQQJIMVVUTQN-UHFFFAOYSA-N
CC(=O)c1ccc(O)cc1	4-Hydroxyacetophenone	swe2_data_165	True	1.5948	swe2	CC(=O)C1=CC=C(C=C1)O	TXFPEBPIARQUIG-UHFFFAOYSA-N
CC(=O)c1cccc(N)c1	3-Aminoacetophenon	swe2_data_123	True	1.4714	swe2	CC(=O)C1=CC(=CC=C1)N	CKQHAYFOPRIUOM-UHFFFAOYSA-N
CC(=O)c1ccccc1	Acetophenone	aus_data_51	True	1.8892	aus	CC(=O)C1=CC=CC=C1	KWOLFJPFCHCOCG-UHFFFAOYSA-N
CC(=O)c1cccnc1	3-Acetylpyridine	aus_data_22	True	1.2842	aus	CC(=O)C1=CN=CC=C1	WEGYGNROSJDEIW-UHFFFAOYSA-N
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1	Ketoprofen	amar_data_253+snf_data_205+swe2_data_510	True	3.105700000000001	amar+snf+swe2	CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O	DKYWVDODHFEZIM-UHFFFAOYSA-N
CC(C(=O)c1ccc2c(c1)OCO2)N(C)C	bk-MDDMA	aus_data_67	True	1.5480999999999998	aus	CC(C(=O)C1=CC2=C(C=C1)OCO2)N(C)C	OSNIIMCBVLBNGS-UHFFFAOYSA-N
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1	Anastrozole	amar_data_114+swe2_data_252	True	2.9287600000000014	amar+swe2	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N	YBBLVLTVTVSKRW-UHFFFAOYSA-N
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	Fexofenadine	aus_data_112+amar_data_204+snf_data_3019+swe2_data_431	True	5.510500000000006	aus+amar+snf+swe2	CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O	RWTNPBWLLIMQHL-UHFFFAOYSA-N
CC(C)(C)C(=O)C(C#N)=CNc1cccc2nsnc12	QZOMZISEDDJTHO-CMDGGOBGSA-N	aus_data_293	True	3.1258800000000013	aus	CC(C)(C)C(=O)/C(=C/NC1=CC=CC2=NSN=C21)/C#N	QZOMZISEDDJTHO-CMDGGOBGSA-N
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1	Climbazole	aus_data_75+amar_data_163+snf_data_2739+swe2_data_325	True	3.729300000000002	aus+amar+snf+swe2	CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl	OWEGWHBOCFMBLP-UHFFFAOYSA-N
CC(C)(C)C(CCC(=O)O)CC(=O)O	3-tert-Butyladipic acid	aus_data_301	True	1.9882	aus	CC(C)(C)C(CCC(=O)O)CC(=O)O	LHSCNQRBIIDZCB-UHFFFAOYSA-N
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1	Tebuconazole	aus_data_238+swe2_data_761	True	3.3415000000000017	aus+swe2	CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O	PXMNMQRDXWABCY-UHFFFAOYSA-N
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1	Triadimenol	swe2_data_795	True	2.916100000000001	swe2	CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O	BAZVSMNPJJMILC-UHFFFAOYSA-N
CC(C)(C)NC(=O)NCCO	1-(2-Hydroxyethyl)-3-t-butylurea	aus_data_167	True	0.0763999999999999	aus	CC(C)(C)NC(=O)NCCO	AVPJNLYWMUHKJP-UHFFFAOYSA-N
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1	Albuterol	snf_data_2851	True	1.3059999999999998	snf	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	NDAUXUAQIAJITI-UHFFFAOYSA-N
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1O	3,5-di-tert-Butyl-4-hydroxybenzaldehyde	swe2_data_118	True	3.799700000000004	swe2	CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O	DOZRDZLFLOODMB-UHFFFAOYSA-N
CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O	2,5-di-tert-Butylhydroquinone	aus_data_291	True	3.692800000000003	aus	CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O	JZODKRWQWUWGCD-UHFFFAOYSA-N
CC(C)(CC(=O)O)CC(=O)Nc1cc(-c2ccccc2)[nH]n1	3,3-dimethyl-5-oxo-5-[(3-phenyl-1H-pyrazol-5-yl)amino]pentanoic acid	swe2_data_110	True	2.906200000000001	swe2	CC(C)(CC(=O)NC1=NNC(=C1)C2=CC=CC=C2)CC(=O)O	ZWXLRFGRQXAUOF-UHFFFAOYSA-N
CC(C)(CC(=O)O)CC(=O)O	3,3-Dimethylglutaric acid	aus_data_302	True	0.962	aus	CC(C)(CC(=O)O)CC(=O)O	DUHQIGLHYXLKAE-UHFFFAOYSA-N
CC(C)(CO)C(O)C(=O)NCCC(=O)O	Pantothenic acid	aus_data_348+amar_data_344+swe2_data_650	True	-1.0432999999999997	aus+amar+swe2	CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O	GHOKWGTUZJEAQD-ZETCQYMHSA-N
CC(C)(CO)C(O)C(=O)NCCCO	D-Panthenol	aus_data_347+aus_data_89+amar_data_343	True	-1.1355999999999995	aus+amar	CC(C)(CO)[C@H](C(=O)NCCCO)O	SNPLKNRPJHDVJA-ZETCQYMHSA-N
CC(C)(N)Cc1ccccc1	Phentermine	swe2_data_668	True	1.9664	swe2	CC(C)(CC1=CC=CC=C1)N	DHHVAGZRUROJKS-UHFFFAOYSA-N
CC(C)(O)C(O)COc1c2ccoc2cc2oc(=O)ccc12	4-(2,3-Dihydroxy-3-methylbutoxy)furo(3,2-g)chromen-7-one	amar_data_72	True	2.0498	amar	CC(C)(C(COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)O)O	PEWFWDOPJISUOK-UHFFFAOYSA-N
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O	Fenofibric acid	swe2_data_428	True	3.8130000000000033	swe2	CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl	MQOBSOSZFYZQOK-UHFFFAOYSA-N
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O	Bezafibrate	amar_data_129+snf_data_209	True	3.554500000000001	amar+snf	CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl	IIBYAHWJQTYFKB-UHFFFAOYSA-N
CC(C)(Oc1ccc(Cl)cc1)C(=O)O	Clofibric acid	amar_data_165+snf_data_204	True	2.582	amar+snf	CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl	TXCGAZHTZHNUAI-UHFFFAOYSA-N
CC(C)=CC(=O)NCC(=O)O	3-Methylcrotonylglycine	aus_data_26	True	0.1533999999999997	aus	CC(=CC(=O)NCC(=O)O)C	PFWQSHXPNKRLIV-UHFFFAOYSA-N
CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O	Lupulone	amar_data_275	True	6.863800000000007	amar	CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O	LSDULPZJLTZEFD-UHFFFAOYSA-N
CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)C(C)C)=C1O	Cohumulone	amar_data_167+swe2_data_334	True	3.8621000000000025	amar+swe2	CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O	DRSITEVYZGOOQG-UHFFFAOYSA-N
CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O	Humulone	amar_data_232	True	4.252200000000003	amar	CC(C)CC(=O)C1=C(C(=C([C@@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O	VMSLCPKYRPDHLN-OAQYLSRUSA-N
CC(C)=CCCC(C)=CC=O	Citral	swe2_data_323	True	2.878000000000001	swe2	CC(=CCC/C(=C/C=O)/C)C	WTEVQBCEXWBHNA-JXMROGBWSA-N
CC(C)=CCCC(C)O	Sulcatol	aus_data_235	True	2.1136000000000004	aus	CC(CCC=C(C)C)O	OHEFFKYYKJVVOX-UHFFFAOYSA-N
CC(C)C(=O)O	Isobutyric acid	swe2_data_498	True	0.727	swe2	CC(C)C(=O)O	KQNPFQTWMSNSAP-UHFFFAOYSA-N
CC(C)C(N)C(=O)N1CCCC1C(=O)O	Valylproline	aus_data_272+swe2_data_832	True	0.0453000000000002	aus+swe2	CC(C)[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N	GIAZPLMMQOERPN-YUMQZZPRSA-N
CC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)O	2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid	amar_data_28+swe2_data_831	True	0.7817999999999998	amar+swe2	CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N	GJNDXQBALKCYSZ-UHFFFAOYSA-N
CC(C)C(N)C(=O)O	Valine	aus_data_271	True	0.0543	aus	CC(C)[C@@H](C(=O)O)N	KZSNJWFQEVHDMF-BYPYZUCNSA-N
CC(C)C(N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21	Valganciclovir	swe2_data_828	True	-1.4366999999999974	swe2	CC(C)[C@@H](C(=O)OCC(CO)OCN1C=NC2=C1N=C(NC2=O)N)N	WPVFJKSGQUFQAP-GKAPJAKFSA-N
CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21	Valaciclovir	snf_data_11003	True	-0.7975999999999985	snf	CC(C)[C@@H](C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N	HDOVUKNUBWVHOX-QMMMGPOBSA-N
CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)O	Phenylalanylvaline	swe2_data_671	True	0.7817999999999989	swe2	CC(C)[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)N	IEHDJWSAXBGJIP-RYUDHWBXSA-N
CC(C)C(NC(=O)c1cc(-c2ccc(F)cc2)nn1CCCCCF)C(N)=O	5-Fluoro-3,5-AB-PFUPPYCA	aus_data_36	True	3.0687000000000006	aus	CC(C)C(C(=O)N)NC(=O)C1=CC(=NN1CCCCCF)C2=CC=C(C=C2)F	JPKXVUNTSWGYKJ-UHFFFAOYSA-N
CC(C)C(O)(CC(=O)O)C(=O)O	2-Isopropylmalic acid	aus_data_287+amar_data_55+swe2_data_89	True	-0.0672	aus+amar+swe2	CC(C)C(CC(=O)O)(C(=O)O)O	BITYXLXUCSKTJS-UHFFFAOYSA-N
CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1	Abietic acid	aus_data_49	True	5.206200000000004	aus	CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C	RSWGJHLUYNHPMX-ONCXSQPRSA-N
